City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,kiunga,-6.1219,141.2906,73.0,90,100,4.76,PG,1722708548
267,bismil,37.8486,40.6658,87.53,13,0,6.82,TR,1722708549
268,ouro preto do oeste,-10.7481,-62.2158,100.04,20,3,5.03,BR,1722708551
269,kuanda,56.3161,116.0806,65.79,63,100,6.2,RU,1722708552
270,iquique,-20.2208,-70.1431,62.64,75,5,4.32,CL,1722708554
271,caiaponia,-16.9567,-51.8103,88.59,21,1,7.76,BR,1722708555
272,nagqu,31.5,92.0,38.61,87,8,4.0,CN,1722708557
273,eureka,40.8021,-124.1637,65.19,92,100,1.99,US,1722708336
274,guardo,42.7897,-4.8482,80.13,29,0,3.44,ES,1722708559
275,al jawf,29.5,38.75,87.21,15,0,11.56,SA,1722708560
276,nago,26.5881,127.9761,84.63,88,3,4.92,JP,1722708561
277,inhambane,-23.865,35.3833,69.67,82,0,8.75,MZ,1722708562
278,st. john's,47.5649,-52.7093,75.56,68,15,7.23,CA,1722708564
279,anaconda,46.1285,-112.9423,88.79,13,100,6.26,US,1722708565
280,porto novo,6.4965,2.6036,77.52,80,100,9.53,BJ,1722708566
281,two rivers,44.1539,-87.5693,85.35,68,0,10.36,US,1722708552
282,borazjan,29.2666,51.2159,97.84,21,4,2.26,IR,1722708568
283,flying fish cove,-10.4217,105.6791,76.68,88,100,10.36,CX,1722708569
284,carnarvon,-24.8667,113.6333,63.82,74,0,16.37,AU,1722708571
285,galliano,29.4422,-90.2992,97.0,58,75,4.61,US,1722708572
286,ko pha ngan,9.7578,100.0291,77.63,78,100,10.0,TH,1722708573
287,cutral-co,-38.9469,-69.2089,56.91,10,1,18.01,AR,1722708574
288,humaita,-7.5061,-63.0208,103.75,20,58,3.33,BR,1722708575
289,puerto baquerizo moreno,-0.9,-89.6,76.19,83,40,14.97,EC,1722708577
290,sodra sandby,56.5667,16.6167,70.9,62,90,9.86,SE,1722708578
291,ruzayevka,54.0639,44.9509,66.51,64,100,7.31,RU,1722708579
292,uturoa,-16.7333,-151.4333,76.17,67,92,11.48,PF,1722708580
293,yuzhno-kurilsk,44.0306,145.8556,61.95,95,49,5.23,RU,1722708581
294,okhotsk,59.3833,143.3,52.25,82,68,3.71,RU,1722708583
295,robore,-18.3333,-59.75,98.56,18,0,17.34,BO,1722708584
296,murzuq,25.9155,13.9184,92.59,13,0,7.83,LY,1722708585
297,conduaga,8.862,117.4893,77.41,85,100,2.64,PH,1722708586
298,christchurch,-43.5333,172.6333,30.69,93,100,2.3,NZ,1722708587
299,pontes e lacerda,-15.2261,-59.3353,99.59,16,0,10.83,BR,1722708588
300,kingston,17.997,-76.7936,90.16,63,44,10.96,JM,1722708590
301,duba,27.3513,35.6901,92.16,46,22,4.92,SA,1722708591
302,tazacorte,28.629,-17.9293,76.17,73,20,16.11,ES,1722708592
303,jiayuguan,39.8167,98.3,80.06,14,97,7.36,CN,1722708593
304,abepura,-2.6333,140.5833,77.81,94,20,3.44,ID,1722708594
305,awjilah,29.1081,21.2869,92.14,22,0,8.99,LY,1722708596
306,sinop,41.7711,34.8709,66.09,92,0,3.02,TR,1722708597
307,tiksi,71.6872,128.8694,43.21,81,98,1.54,RU,1722708599
308,rocha,-34.4833,-54.3333,56.12,82,73,11.59,UY,1722708600
309,mitchell,43.7094,-98.0298,94.15,45,0,16.11,US,1722708601
310,mulayjah,27.271,48.4242,98.62,10,6,10.25,SA,1722708603
311,hadibu,12.65,54.0333,78.6,79,9,22.86,YE,1722708604
312,kamaishi,39.2667,141.8833,73.99,93,6,4.99,JP,1722708605
313,ondjiva,-17.0667,15.7333,73.2,14,0,5.19,AO,1722708607
314,hashtrud,37.4779,47.0508,71.08,53,41,7.2,IR,1722708608
315,alvear,-29.0968,-56.5504,87.26,39,0,17.27,AR,1722708609
316,prince rupert,54.3161,-130.3201,63.77,65,4,4.83,CA,1722708610
317,hithadhoo,-0.6,73.0833,83.12,76,94,7.31,MV,1722708612
318,yaren,-0.5472,166.916,83.75,73,69,12.19,NR,1722708613
319,kailua-kona,19.6406,-155.9956,81.59,81,0,4.61,US,1722708614
320,presque isle,46.6811,-68.0159,87.03,66,0,8.05,US,1722708615
321,knyaze-volkonskoye,48.4642,135.4567,59.34,93,11,4.05,RU,1722708616
322,pacasmayo,-7.4006,-79.5714,68.22,71,77,12.62,PE,1722708380
323,howard springs,-12.497,131.047,71.51,93,26,3.53,AU,1722708619
324,portland,45.5234,-122.6762,77.81,53,100,4.0,US,1722708425
325,cill airne,52.05,-9.5167,60.85,72,75,13.8,IE,1722708621
326,saipan,15.1355,145.701,83.1,83,75,9.22,MP,1722708622
327,tofol,5.3248,163.0078,83.12,74,98,9.73,FM,1722708623
328,arnstadt,50.8333,10.95,76.66,70,0,1.14,DE,1722708625
329,ola,59.5833,151.2833,49.77,62,0,3.65,RU,1722708626
330,kuala terengganu,5.3302,103.1408,77.43,89,100,4.45,MY,1722708627
331,nishifukuma,33.7667,130.4667,85.32,86,0,3.24,JP,1722708628
332,kovalam,8.3667,76.9967,81.84,78,40,6.91,IN,1722708629
333,abu road,24.4833,72.7833,77.94,96,100,3.49,IN,1722708632
334,dakoro,14.5106,6.765,83.59,59,95,16.84,NE,1722708633
335,greenville,35.6127,-77.3663,93.36,62,40,13.8,US,1722708634
336,white river,-25.3318,31.0117,65.35,68,0,6.91,ZA,1722708637
337,fortuna,40.5982,-124.1573,61.99,95,100,4.61,US,1722708638
338,al jumum,21.6169,39.6981,91.67,54,88,10.71,SA,1722708640
339,damghan,36.1683,54.348,87.01,32,1,5.82,IR,1722708641
340,vytegra,61.0064,36.4481,59.54,95,66,2.19,RU,1722708643
341,alaghsas,17.0187,8.0168,84.24,56,57,7.16,NE,1722708644
342,gujo,35.7369,136.9585,75.0,96,43,3.33,JP,1722708645
343,jieshou,33.2634,115.3611,81.91,87,15,5.93,CN,1722708646
344,port hedland,-20.3167,118.5667,62.65,94,10,6.91,AU,1722708647
345,walvis bay,-22.9575,14.5053,56.08,79,13,4.79,NA,1722708650
346,belel,7.05,14.4333,62.73,93,96,4.32,CM,1722708651
347,newman,37.3138,-121.0208,94.14,36,20,1.99,US,1722708653
348,oranjemund,-28.55,16.4333,56.14,93,24,16.35,NA,1722708655
349,tenenkou,14.4572,-4.9169,88.07,53,98,10.0,ML,1722708656
350,ivdel',60.6911,60.4206,57.88,94,84,1.79,RU,1722708657
351,doda,33.1333,75.5667,74.77,96,96,3.02,IN,1722708658
352,san luis de la loma,17.2706,-100.8939,84.02,66,100,5.12,MX,1722708659
353,badiyah,22.45,58.8,90.64,46,86,10.27,OM,1722708661
354,batangafo,7.3008,18.2833,72.81,95,84,5.75,CF,1722708662
355,torghay,49.6339,63.4981,78.73,31,72,0.72,KZ,1722708663
356,ermoupolis,37.4423,24.9425,81.97,67,0,12.62,GR,1722708664
357,axim,4.8699,-2.2405,75.99,84,82,8.16,GH,1722708665
358,taoudenni,22.6783,-3.9836,107.29,17,71,22.15,ML,1722708667
359,rio das ostras,-22.5269,-41.945,75.13,73,62,14.38,BR,1722708668
360,buka,40.8108,69.1986,86.18,17,48,8.97,UZ,1722708669
361,sakakah,29.9697,40.2064,92.77,14,1,9.42,SA,1722708671
362,hamilton,39.1834,-84.5333,86.22,67,75,5.75,US,1722708672
